,timestamp,open,high,low,close,volume
75,2023-07-15,95.12,95.79,93.74,94.78,474351.647
76,2023-07-16,94.77,95.36,91.84,92.89,493219.168
77,2023-07-17,92.89,93.58,89.15,92.2,825195.015
78,2023-07-18,92.19,92.95,89.37,91.56,547028.221
79,2023-07-19,91.55,94.23,91.39,91.99,610568.712
80,2023-07-20,92.0,95.02,91.39,92.37,763855.203
81,2023-07-21,92.37,94.79,91.68,94.09,562398.104
82,2023-07-22,94.1,96.46,91.2,92.09,523224.177
83,2023-07-23,92.09,93.62,91.52,93.16,459296.754
84,2023-07-24,93.15,93.43,87.27,89.14,744271.418
85,2023-07-25,89.14,90.19,88.55,89.45,437773.574
86,2023-07-26,89.45,91.17,88.5,90.64,523849.498
87,2023-07-27,90.63,91.99,89.66,90.6,492615.117
88,2023-07-28,90.59,92.0,90.53,91.44,400613.116
89,2023-07-29,91.44,94.9,90.84,94.32,483778.285
90,2023-07-30,94.33,96.18,90.82,94.03,1123107.136
91,2023-07-31,94.03,95.06,91.07,92.28,751748.352
92,2023-08-01,92.28,94.12,88.1,93.94,1191154.381
93,2023-08-02,93.95,94.68,85.7,87.54,1519927.122
94,2023-08-03,87.53,88.38,80.5,82.55,1131674.185
95,2023-08-04,82.55,83.92,80.74,82.2,956964.968
96,2023-08-05,82.2,83.42,81.35,83.12,353881.791
97,2023-08-06,83.11,83.49,81.68,82.57,376251.971
98,2023-08-07,82.57,83.44,79.29,82.49,531623.828
99,2023-08-08,82.48,85.47,81.75,83.86,735916.528
100,2023-08-09,83.85,84.61,83.13,84.08,381592.396
101,2023-08-10,84.08,84.39,82.66,83.14,337566.353
102,2023-08-11,83.13,83.72,82.68,83.58,186712.308
103,2023-08-12,83.58,84.0,83.27,83.47,178561.007
104,2023-08-13,83.48,83.81,81.01,81.92,331226.641
105,2023-08-14,81.92,83.13,81.5,82.11,330529.723
106,2023-08-15,82.11,82.25,77.0,79.26,600119.042
107,2023-08-16,79.27,79.61,72.75,74.56,1050727.642
108,2023-08-17,74.57,75.84,56.0,64.77,1709946.722
109,2023-08-18,64.77,65.97,63.04,63.98,1283276.079
110,2023-08-19,63.98,65.01,63.51,64.18,511070.915
111,2023-08-20,64.17,65.89,63.98,65.25,328241.945
112,2023-08-21,65.25,67.31,64.34,67.0,795770.097
113,2023-08-22,67.0,67.38,62.02,64.83,726834.414
114,2023-08-23,64.83,66.86,64.06,65.64,548642.362
115,2023-08-24,65.63,65.9,63.9,64.88,352946.421
116,2023-08-25,64.88,65.47,63.5,65.13,400427.672
117,2023-08-26,65.13,65.59,64.9,65.01,205559.917
118,2023-08-27,65.0,65.95,64.83,65.39,232033.928
119,2023-08-28,65.39,65.76,63.97,65.52,401983.007
120,2023-08-29,65.51,70.69,64.6,68.86,953145.162
121,2023-08-30,68.85,69.03,66.5,67.65,422458.336
122,2023-08-31,67.65,68.36,63.13,63.89,688058.059
123,2023-09-01,63.88,64.25,61.83,62.98,569049.852
124,2023-09-02,62.98,64.75,62.95,64.59,295503.141
125,2023-09-03,64.58,64.91,63.57,63.93,257480.232
126,2023-09-04,63.93,65.01,63.0,63.75,389301.433
127,2023-09-05,63.75,63.79,62.58,63.15,475655.47
128,2023-09-06,63.15,63.91,61.36,62.87,463879.229
129,2023-09-07,62.88,64.49,62.48,63.71,372442.946
130,2023-09-08,63.71,64.24,61.51,62.61,370397.71
131,2023-09-09,62.6,63.3,62.52,63.06,153119.403
132,2023-09-10,63.06,63.06,60.02,61.11,486962.352
133,2023-09-11,61.12,61.66,57.68,58.85,792927.547
134,2023-09-12,58.85,61.53,58.65,59.96,617319.813
135,2023-09-13,59.96,62.85,59.63,61.98,511853.421
136,2023-09-14,61.98,63.44,61.95,62.83,638084.848
137,2023-09-15,62.83,66.27,62.55,65.89,540624.758
138,2023-09-16,65.89,67.05,64.41,65.38,391265.329
139,2023-09-17,65.38,65.42,62.75,63.55,497205.276
140,2023-09-18,63.57,67.9,62.9,65.89,790412.337
141,2023-09-19,65.87,68.41,65.59,67.28,527023.356
142,2023-09-20,67.28,67.87,63.24,64.55,931126.906
143,2023-09-21,64.55,65.01,62.92,64.69,449081.78
144,2023-09-22,64.69,65.88,63.89,64.37,442545.403
145,2023-09-23,64.37,65.26,64.37,65.07,387901.571
146,2023-09-24,65.06,65.1,63.25,63.58,207773.25
147,2023-09-25,63.58,65.06,62.56,64.33,258415.693
148,2023-09-26,64.34,65.08,63.02,63.8,371056.263
149,2023-09-27,63.8,65.56,63.04,63.53,351266.028
150,2023-09-28,63.53,65.54,63.14,65.21,446339.742
151,2023-09-29,65.22,66.5,64.91,65.55,350400.956
152,2023-09-30,65.55,66.6,65.34,65.97,179434.202
153,2023-10-01,65.98,68.85,65.83,68.19,430058.027
154,2023-10-02,68.19,68.42,65.11,65.97,558987.867
155,2023-10-03,65.98,66.93,65.26,65.5,264841.857
156,2023-10-04,65.5,65.52,63.01,64.4,389378.985
157,2023-10-05,64.39,65.28,63.72,64.8,371850.64
158,2023-10-06,64.81,65.98,64.37,65.5,258989.347
159,2023-10-07,65.5,66.27,64.95,65.45,177304.899
160,2023-10-08,65.45,65.98,64.97,65.34,316323.185
161,2023-10-09,65.34,65.36,61.51,63.07,448896.385
162,2023-10-10,63.07,63.82,62.57,63.61,234743.163
163,2023-10-11,63.6,63.75,61.08,61.55,287049.191
164,2023-10-12,61.55,61.55,60.33,61.12,285371.231
165,2023-10-13,61.12,62.15,61.06,61.58,358112.195
166,2023-10-14,61.58,61.97,61.39,61.62,121555.639
167,2023-10-15,61.62,62.18,61.38,61.63,140207.935
168,2023-10-16,61.63,66.33,61.57,63.19,679996.392
169,2023-10-17,63.2,63.33,61.37,62.07,285933.96
170,2023-10-18,62.06,62.85,60.04,60.23,320321.652
171,2023-10-19,60.23,61.92,59.7,61.78,277475.09
172,2023-10-20,61.77,64.27,61.57,63.38,437547.959
173,2023-10-21,63.37,65.39,63.35,64.75,336999.659
174,2023-10-22,64.75,66.32,63.12,65.26,569753.647
175,2023-10-23,65.26,69.9,64.86,69.02,788986.444
176,2023-10-24,69.02,72.89,67.07,69.15,927287.448
177,2023-10-25,69.14,70.42,67.69,68.71,555761.144
178,2023-10-26,68.7,70.63,66.13,68.76,594733.362
179,2023-10-27,68.75,68.81,65.58,66.99,430964.8
180,2023-10-28,66.99,68.44,66.93,67.73,393365.01
181,2023-10-29,67.73,69.31,67.0,68.79,254650.085
182,2023-10-30,68.79,69.79,67.62,69.21,391259.073
183,2023-10-31,69.21,70.53,67.6,68.89,616209.44
184,2023-11-01,68.89,70.46,66.51,69.97,758567.526
185,2023-11-02,69.97,70.77,67.4,69.43,658461.347
186,2023-11-03,69.42,69.58,67.5,69.45,366590.453
187,2023-11-04,69.45,70.81,68.69,70.41,286371.778
188,2023-11-05,70.41,72.32,69.9,71.6,604752.663
189,2023-11-06,71.6,74.95,70.79,74.46,517587.681
190,2023-11-07,74.46,74.57,71.06,73.41,587908.072
191,2023-11-08,73.41,74.31,72.45,73.07,454113.58
192,2023-11-09,73.06,76.23,67.85,73.83,1037301.535
193,2023-11-10,73.85,75.48,70.67,73.28,659369.92
194,2023-11-11,73.27,75.95,70.84,75.26,701397.299
195,2023-11-12,75.26,76.79,72.12,74.88,759337.894
196,2023-11-13,74.88,76.05,70.5,71.1,687416.727
197,2023-11-14,71.1,72.56,68.09,70.61,612778.52
198,2023-11-15,70.61,74.3,70.5,74.03,546364.964
199,2023-11-16,74.02,74.35,69.78,70.97,516234.012
200,2023-11-17,70.96,71.66,68.0,70.29,701059.335
201,2023-11-18,70.28,70.33,67.5,69.86,319967.121
202,2023-11-19,69.85,70.67,68.5,70.54,267656.397
203,2023-11-20,70.56,71.02,68.62,69.51,363216.736
204,2023-11-21,69.52,71.87,65.12,66.15,766319.59
205,2023-11-22,66.15,69.15,65.96,68.7,411855.152
206,2023-11-23,68.7,70.76,68.38,69.51,487505.593
207,2023-11-24,69.51,71.77,69.43,70.73,431373.898
